index,gender,car,reality,income_type,edu_type,family_type,house_type,occyp_type,family_size,age,work_year,use_month,income_total,credit
98,1,1,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,1,29,2,5,450000.0,2.0
99,0,0,0,State servant,Secondary / secondary special,Separated,House / apartment,Medicine staff,1,53,34,35,270000.0,2.0
100,0,0,1,Working,Higher education,Married,House / apartment,Private service staff,2,60,24,9,135000.0,2.0
101,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Managers,2,53,9,2,81000.0,1.0
102,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,33,2,12,135000.0,2.0
103,1,1,0,Working,Higher education,Married,House / apartment,Managers,2,43,11,12,315000.0,2.0
104,1,1,1,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,1,43,7,7,225000.0,0.0
105,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,27,8,5,135000.0,2.0
106,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,44,6,47,90000.0,2.0
107,0,1,0,Working,Higher education,Married,House / apartment,Laborers,3,25,5,4,306000.0,1.0
108,0,0,1,Working,Higher education,Single / not married,House / apartment,Core staff,1,29,2,22,153000.0,2.0
109,0,0,1,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,62,7,13,126000.0,2.0
110,1,1,1,Commercial associate,Higher education,Married,House / apartment,Managers,2,35,1,57,315000.0,2.0
111,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,44,7,44,225000.0,2.0
112,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,48,1,4,193500.0,2.0
113,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,4,47,4,36,90000.0,1.0
114,1,1,1,Working,Higher education,Married,House / apartment,Managers,4,31,9,43,135000.0,2.0
115,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,57,0,49,81000.0,2.0
116,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Managers,3,39,8,11,382500.0,2.0
117,0,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,44,2,27,202500.0,2.0
118,0,0,1,Working,Higher education,Married,House / apartment,Sales staff,2,50,16,47,112500.0,2.0
119,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,4,33,6,0,144000.0,1.0
120,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,58,0,4,157500.0,1.0
121,0,0,0,Working,Secondary / secondary special,Married,Municipal apartment,Sales staff,2,45,28,35,144000.0,2.0
122,0,1,1,State servant,Higher education,Married,House / apartment,Core staff,4,35,12,39,283500.0,2.0
123,0,0,1,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,53,18,48,202500.0,2.0
124,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,42,10,55,90000.0,2.0
125,1,0,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,34,12,42,360000.0,2.0
126,0,1,0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,Laborers,2,32,14,45,175500.0,2.0
127,1,1,1,Commercial associate,Higher education,Married,House / apartment,Laborers,3,45,2,30,360000.0,2.0
128,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,37,15,38,112500.0,1.0
129,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,48,5,11,315000.0,2.0
130,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,Laborers,1,42,9,1,297000.0,0.0
131,0,1,0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,Laborers,2,38,15,33,202500.0,0.0
132,0,0,0,Commercial associate,Higher education,Married,House / apartment,Drivers,2,28,2,35,225000.0,2.0
133,0,1,0,Working,Higher education,Married,House / apartment,Managers,3,36,8,22,387000.0,2.0
134,0,1,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,62,0,6,135000.0,2.0
135,1,1,0,Commercial associate,Higher education,Separated,House / apartment,Managers,2,42,1,23,337500.0,0.0
136,0,0,0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Accountants,3,34,2,29,225000.0,2.0
137,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,3,37,9,46,225000.0,2.0
138,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,66,0,2,54000.0,0.0
139,0,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,37,3,39,157500.0,2.0
140,1,1,1,Working,Higher education,Married,With parents,Laborers,3,32,5,15,180000.0,0.0
141,0,1,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,3,28,9,12,112500.0,2.0
142,1,1,1,Working,Higher education,Married,House / apartment,Managers,2,61,6,11,360000.0,2.0
143,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,37,3,45,256500.0,2.0
144,0,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,4,8,180000.0,2.0
145,0,1,0,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,53,33,7,202500.0,2.0
146,0,0,0,Working,Higher education,Married,House / apartment,Managers,2,38,21,6,247500.0,1.0
147,0,0,1,Working,Higher education,Married,House / apartment,Sales staff,2,34,2,11,157500.0,1.0
148,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,39,3,26,225000.0,2.0
149,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,35,7,49,112500.0,1.0
150,0,1,0,Working,Higher education,Married,House / apartment,Laborers,3,32,8,41,157500.0,2.0
151,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,42,1,33,360000.0,2.0
152,0,1,1,Working,Secondary / secondary special,Separated,House / apartment,Medicine staff,1,29,2,35,360000.0,2.0
153,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,49,10,32,180000.0,1.0
154,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,51,31,46,175500.0,2.0
155,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,55,0,35,90000.0,2.0
156,1,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,2,45,3,38,135000.0,2.0
157,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,27,4,44,157500.0,2.0
158,1,0,1,State servant,Higher education,Married,House / apartment,Core staff,3,29,7,39,202500.0,2.0
159,0,0,1,Pensioner,Higher education,Married,House / apartment,Unoccupied,2,59,0,51,153000.0,1.0
160,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,46,4,11,72000.0,2.0
161,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Managers,4,36,3,33,360000.0,0.0
162,0,0,0,Working,Secondary / secondary special,Separated,House / apartment,Managers,2,44,6,60,540000.0,2.0
163,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,60,0,24,155250.0,2.0
164,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,57,3,3,189000.0,1.0
165,0,0,1,State servant,Higher education,Married,House / apartment,Laborers,2,57,3,4,139500.0,1.0
166,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,59,0,15,495000.0,2.0
167,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,43,1,14,459000.0,2.0
168,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,28,21,157500.0,1.0
169,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,2,38,11,3,225000.0,1.0
170,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,3,49,2,60,450000.0,2.0
171,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Private service staff,2,42,3,2,135000.0,0.0
172,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,43,23,49,135000.0,1.0
173,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,63,0,19,189000.0,0.0
174,0,0,1,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,29,3,15,225000.0,2.0
175,1,0,1,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,29,4,2,112500.0,1.0
176,0,1,0,State servant,Higher education,Married,House / apartment,Managers,2,49,28,26,315000.0,2.0
177,0,0,0,Commercial associate,Higher education,Single / not married,Rented apartment,Laborers,1,32,4,22,157500.0,1.0
178,1,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,55,0,12,126000.0,2.0
179,1,1,1,Commercial associate,Secondary / secondary special,Married,Rented apartment,Drivers,2,46,6,19,315000.0,2.0
180,0,1,1,Commercial associate,Higher education,Separated,House / apartment,Managers,1,56,14,58,720000.0,2.0
181,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,56,0,5,90000.0,0.0
182,0,0,1,Working,Higher education,Married,House / apartment,Laborers,4,28,3,12,67500.0,0.0
183,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,62,0,42,157500.0,1.0
184,1,1,0,Working,Secondary / secondary special,Married,Office apartment,Drivers,2,41,3,46,225000.0,2.0
185,0,0,1,Working,Lower secondary,Widow,House / apartment,Cleaning staff,1,46,7,49,180000.0,2.0
186,0,1,1,Working,Higher education,Married,House / apartment,Secretaries,2,50,5,10,216000.0,2.0
187,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,37,12,4,157500.0,1.0
188,0,0,0,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,54,0,26,112500.0,0.0
189,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,45,13,44,112500.0,2.0
190,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,63,0,13,90000.0,0.0
191,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,28,121500.0,2.0
192,0,0,1,Working,Higher education,Married,House / apartment,Laborers,2,36,5,14,135000.0,2.0
193,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,2,44,8,22,202500.0,0.0
194,1,1,0,State servant,Higher education,Married,House / apartment,High skill tech staff,3,34,5,19,252000.0,1.0
195,0,0,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,30,2,5,202500.0,2.0
196,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Managers,2,27,7,36,202500.0,2.0
197,1,0,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,3,31,7,49,360000.0,2.0
198,0,0,1,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,4,35,15,26,225000.0,1.0
199,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Sales staff,4,43,2,11,360000.0,2.0
200,1,1,1,Working,Higher education,Married,House / apartment,Managers,2,40,6,3,202500.0,1.0
201,0,1,1,Working,Higher education,Married,House / apartment,Core staff,2,33,11,10,225000.0,1.0
202,0,0,0,Working,Higher education,Married,House / apartment,Core staff,2,38,13,8,135000.0,1.0
203,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,31,12,41,360000.0,2.0
204,1,0,0,Working,Secondary / secondary special,Married,Municipal apartment,Managers,2,47,4,46,382500.0,1.0
205,0,0,1,Working,Secondary / secondary special,Single / not married,Rented apartment,Laborers,1,46,2,28,171000.0,2.0
206,1,0,0,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,31,8,48,292500.0,1.0
207,0,1,0,Working,Secondary / secondary special,Widow,House / apartment,HR staff,1,39,4,6,144000.0,2.0
208,0,0,0,State servant,Higher education,Married,House / apartment,Core staff,4,31,8,3,112500.0,0.0
209,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,18,81000.0,2.0
210,0,1,1,Working,Higher education,Separated,House / apartment,Core staff,2,40,5,0,225000.0,1.0
211,0,0,1,Commercial associate,Higher education,Separated,House / apartment,Accountants,1,48,7,52,315000.0,2.0
212,1,1,1,Working,Higher education,Married,House / apartment,Managers,3,41,1,3,427500.0,1.0
213,0,0,0,Working,Secondary / secondary special,Married,With parents,Security staff,2,33,6,13,78750.0,2.0
214,0,0,0,Pensioner,Higher education,Widow,House / apartment,Unoccupied,1,65,0,30,67500.0,0.0
215,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,60,6,13,121500.0,2.0
216,0,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,46,21,42,144000.0,2.0
217,0,0,1,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,61,0,45,135000.0,1.0
218,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,58,0,41,94500.0,0.0
219,0,1,0,Working,Higher education,Married,House / apartment,Managers,2,40,8,12,562500.0,0.0
220,0,0,1,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Unoccupied,1,60,0,32,90000.0,1.0
221,0,0,0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,38,6,43,72000.0,2.0
222,1,0,1,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,2,46,6,11,144000.0,2.0
223,0,1,0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Accountants,2,58,4,17,202500.0,2.0
224,0,0,0,Working,Higher education,Married,House / apartment,Managers,2,48,16,28,270000.0,2.0
225,1,1,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,31,13,12,180000.0,1.0
226,0,1,1,Commercial associate,Higher education,Married,With parents,Managers,4,34,4,50,315000.0,2.0
227,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,9,49,180000.0,1.0
228,1,0,1,Commercial associate,Higher education,Single / not married,Rented apartment,Sales staff,1,27,4,7,292500.0,0.0
229,0,0,1,Pensioner,Higher education,Married,House / apartment,Unoccupied,2,58,0,51,90000.0,2.0
230,0,0,0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,48,31,37,103500.0,2.0
231,0,1,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,62,0,19,67500.0,2.0
232,0,1,1,Working,Higher education,Civil marriage,House / apartment,Sales staff,2,30,2,17,225000.0,0.0
233,1,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,44,22,27,112500.0,1.0
234,1,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,50,3,59,450000.0,1.0
235,1,0,1,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,2,43,2,11,247500.0,1.0
236,1,1,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,47,4,20,247500.0,1.0
237,0,0,0,State servant,Secondary / secondary special,Married,House / apartment,Laborers,2,38,19,27,112500.0,2.0
238,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,42,1,29,225000.0,2.0
239,0,1,1,Working,Higher education,Separated,House / apartment,Sales staff,2,38,1,37,270000.0,2.0
240,1,1,0,State servant,Higher education,Married,Office apartment,Laborers,2,32,12,3,382500.0,1.0
241,1,0,0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,34,9,18,202500.0,1.0
242,0,0,0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,37,4,6,180000.0,2.0
243,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,43,3,13,112500.0,2.0
244,1,0,0,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,2,48,15,1,99000.0,1.0
245,0,1,1,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,37,10,23,157500.0,0.0
246,0,1,1,Working,Higher education,Married,House / apartment,Accountants,2,55,21,43,202500.0,1.0
247,0,0,1,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,50,9,28,90000.0,2.0
248,1,1,1,Commercial associate,Higher education,Married,With parents,Drivers,4,38,2,47,157500.0,2.0
249,1,0,0,Working,Higher education,Married,House / apartment,Core staff,2,41,3,43,180000.0,1.0
250,1,0,1,Commercial associate,Secondary / secondary special,Married,Municipal apartment,High skill tech staff,3,34,7,11,180000.0,1.0
251,0,0,0,Pensioner,Secondary / secondary special,Married,House / apartment,Unoccupied,2,56,0,14,202500.0,2.0
252,0,1,0,Working,Incomplete higher,Married,Rented apartment,Laborers,3,33,10,6,90000.0,1.0
253,0,0,1,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,1,54,19,22,225000.0,2.0
254,0,1,1,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,2,28,3,32,126000.0,2.0
255,0,0,1,State servant,Higher education,Married,House / apartment,High skill tech staff,3,30,10,5,180000.0,1.0
256,0,0,1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,3,37,10,25,360000.0,2.0
257,0,0,1,Pensioner,Secondary / secondary special,Widow,House / apartment,Unoccupied,1,65,0,17,157500.0,1.0
258,0,0,1,Working,Secondary / secondary special,Separated,House / apartment,Laborers,1,41,10,18,315000.0,0.0
259,0,1,1,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,39,13,46,270000.0,2.0
